person 1,person 2,jaccard similarity
Alexei Sourin,Oh Hong Lye,0.25
Alexei Sourin,Ong Chin Ann,0.0
Alexei Sourin,Owen Noel Newton Fernando,0.4285714285714286
Alexei Sourin,Pan Xingang,0.0
Alexei Sourin,Qian Kemao,0.2857142857142857
Alexei Sourin,Seah Hock Soon,0.16666666666666663
Alexei Sourin,Shen Zhiqi,0.125
Alexei Sourin,Siyuan Liu,0.0
Alexei Sourin,Smitha K G,0.125
Alexei Sourin,Sourav Saha Bhowmick,0.125
Alexei Sourin,Sun Aixin,0.0
Alexei Sourin,Tan Rui,0.125
Alexei Sourin,Vidya Sudarshan,0.0
Alexei Sourin,Wai Kin Adams Kong,0.5
Alexei Sourin,Wang Wenya,0.0
Alexei Sourin,Wee Keong NG,0.25
Alexei Sourin,Wei Yang Bryan Lim,0.1428571428571429
Alexei Sourin,Wei Ying,0.0
Alexei Sourin,Wen Yonggang,0.16666666666666663
Alexei Sourin,Wentong Cai,0.19999999999999996
Alexei Sourin,Yeo Chai Kiat,0.25
Alexei Sourin,Yu Han,0.125
Alexei Sourin,Zhang Hanwang,0.2857142857142857
Alexei Sourin,Zhang Jie,0.0
Alexei Sourin,Zhang Tianwei,0.25
Alexei Sourin,Zheng Jianmin,0.25
Anupam Chattopadhyay,A S Madhukumar,0.18181818181818177
Anupam Chattopadhyay,Alexei Sourin,0.09999999999999998
Anupam Chattopadhyay,Anwitaman Datta,0.125
Anupam Chattopadhyay,Arvind Easwaran,0.2857142857142857
Anupam Chattopadhyay,Bo An,0.0
Anupam Chattopadhyay,Cham Tat Jen,0.11111111111111116
Anupam Chattopadhyay,Chee Wei Tan,0.0
Anupam Chattopadhyay,Chen Change Loy,0.1428571428571429
Anupam Chattopadhyay,Chia Liang Tien,0.09999999999999998
Anupam Chattopadhyay,Chng Eng Siong,0.0
Anupam Chattopadhyay,Cong Gao,0.09999999999999998
Anupam Chattopadhyay,Deepu Rajan,0.2222222222222222
Anupam Chattopadhyay,Dmitrii Ustiugov,0.125
Anupam Chattopadhyay,Douglas Leslie Maskell,0.5
Anupam Chattopadhyay,Dusit Niyato,0.25
Anupam Chattopadhyay,Erik Cambria,0.09090909090909094
Anupam Chattopadhyay,Goh Wooi Boon,0.2222222222222222
Anupam Chattopadhyay,Guan Cuntai,0.0
Anupam Chattopadhyay,He Ying,0.1428571428571429
Anupam Chattopadhyay,Huang Shell Ying,0.09090909090909094
Anupam Chattopadhyay,Hui Siu Cheung,0.09090909090909094
Anupam Chattopadhyay,Jagath Chandana Rajapakse,0.0
Anupam Chattopadhyay,Kwoh Chee Keong,0.09090909090909094
Anupam Chattopadhyay,Lam Kwok Yan,0.19999999999999996
Anupam Chattopadhyay,Lam Siew Kei,0.5714285714285714
Anupam Chattopadhyay,Lee Bu Sung,0.09090909090909094
Anupam Chattopadhyay,Li Boyang,0.1428571428571429
Anupam Chattopadhyay,Li Mo,0.09999999999999998
Anupam Chattopadhyay,Li Yi,0.1428571428571429
Anupam Chattopadhyay,Lin Guosheng,0.1428571428571429
Anupam Chattopadhyay,Lin Shang-Wei,0.125
Anupam Chattopadhyay,Liu Weichen,0.4285714285714286
Anupam Chattopadhyay,Liu Yang,0.125
Anupam Chattopadhyay,Liu Ziwei,0.1428571428571429
Anupam Chattopadhyay,Loke Yuan Ren,0.18181818181818177
Anupam Chattopadhyay,Long Cheng,0.0
Anupam Chattopadhyay,Lu Shijian,0.0
Anupam Chattopadhyay,Luo Jun,0.09999999999999998
Anupam Chattopadhyay,Luo Siqiang,0.1428571428571429
Anupam Chattopadhyay,Luu Anh Tuan,0.1428571428571429
Anupam Chattopadhyay,Miao Chun Yan,0.09090909090909094
Anupam Chattopadhyay,Mohamed M. Sabry,0.5555555555555556
Anupam Chattopadhyay,Oh Hong Lye,0.1428571428571429
Anupam Chattopadhyay,Ong Chin Ann,0.0
Anupam Chattopadhyay,Owen Noel Newton Fernando,0.08333333333333337
Anupam Chattopadhyay,Pan Xingang,0.0
Anupam Chattopadhyay,Qian Kemao,0.19999999999999996
Anupam Chattopadhyay,Seah Hock Soon,0.0
Anupam Chattopadhyay,Shen Zhiqi,0.0
Anupam Chattopadhyay,Siyuan Liu,0.0
Anupam Chattopadhyay,Smitha K G,0.33333333333333337
Anupam Chattopadhyay,Sourav Saha Bhowmick,0.09090909090909094
Anupam Chattopadhyay,Sun Aixin,0.0
Anupam Chattopadhyay,Tan Rui,0.09090909090909094
Anupam Chattopadhyay,Vidya Sudarshan,0.0
Anupam Chattopadhyay,Wai Kin Adams Kong,0.125
Anupam Chattopadhyay,Wang Wenya,0.0
Anupam Chattopadhyay,Wee Keong NG,0.18181818181818177
Anupam Chattopadhyay,Wei Yang Bryan Lim,0.0
Anupam Chattopadhyay,Wei Ying,0.0
Anupam Chattopadhyay,Wen Yonggang,0.11111111111111116
Anupam Chattopadhyay,Wentong Cai,0.125
Anupam Chattopadhyay,Yeo Chai Kiat,0.18181818181818177
Anupam Chattopadhyay,Yu Han,0.0
Anupam Chattopadhyay,Zhang Hanwang,0.19999999999999996
Anupam Chattopadhyay,Zhang Jie,0.0
Anupam Chattopadhyay,Zhang Tianwei,0.1428571428571429
Anupam Chattopadhyay,Zheng Jianmin,0.08333333333333337
Anwitaman Datta,A S Madhukumar,0.1428571428571429
Anwitaman Datta,Alexei Sourin,0.19999999999999996
Anwitaman Datta,Anupam Chattopadhyay,0.125
Anwitaman Datta,Arvind Easwaran,0.33333333333333337
Anwitaman Datta,Bo An,0.0
Anwitaman Datta,Cham Tat Jen,0.25
Anwitaman Datta,Chee Wei Tan,0.0
Anwitaman Datta,Chen Change Loy,0.5
Anwitaman Datta,Chia Liang Tien,0.19999999999999996
Anwitaman Datta,Chng Eng Siong,0.0
Anwitaman Datta,Cong Gao,0.19999999999999996
Anwitaman Datta,Deepu Rajan,0.19999999999999996
Anwitaman Datta,Dmitrii Ustiugov,0.33333333333333337
Anwitaman Datta,Douglas Leslie Maskell,0.16666666666666663
Anwitaman Datta,Dusit Niyato,0.25
Anwitaman Datta,Erik Cambria,0.16666666666666663
Anwitaman Datta,Goh Wooi Boon,0.19999999999999996
Anwitaman Datta,Guan Cuntai,0.0
Anwitaman Datta,He Ying,0.5
Anwitaman Datta,Huang Shell Ying,0.4
Anwitaman Datta,Hui Siu Cheung,0.16666666666666663
Anwitaman Datta,Jagath Chandana Rajapakse,0.0
Anwitaman Datta,Kwoh Chee Keong,0.16666666666666663
Anwitaman Datta,Lam Kwok Yan,0.16666666666666663
Anwitaman Datta,Lam Siew Kei,0.19999999999999996
Anwitaman Datta,Lee Bu Sung,0.4
Anwitaman Datta,Li Boyang,0.5
Anwitaman Datta,Li Mo,0.19999999999999996
Anwitaman Datta,Li Yi,0.5
Anwitaman Datta,Lin Guosheng,0.5
Anwitaman Datta,Lin Shang-Wei,0.33333333333333337
Anwitaman Datta,Liu Weichen,0.25
Anwitaman Datta,Liu Yang,0.33333333333333337
Anwitaman Datta,Liu Ziwei,0.5
Anwitaman Datta,Loke Yuan Ren,0.1428571428571429
Anwitaman Datta,Long Cheng,0.0
Anwitaman Datta,Lu Shijian,0.0
Anwitaman Datta,Luo Jun,0.0
Anwitaman Datta,Luo Siqiang,0.5
Anwitaman Datta,Luu Anh Tuan,0.5
Anwitaman Datta,Miao Chun Yan,0.16666666666666663
Anwitaman Datta,Mohamed M. Sabry,0.125
Anwitaman Datta,Oh Hong Lye,0.5
Anwitaman Datta,Ong Chin Ann,0.0
Anwitaman Datta,Owen Noel Newton Fernando,0.1428571428571429
Anwitaman Datta,Pan Xingang,0.0
Anwitaman Datta,Qian Kemao,0.16666666666666663
Anwitaman Datta,Seah Hock Soon,0.25
Anwitaman Datta,Shen Zhiqi,0.0
Anwitaman Datta,Siyuan Liu,0.0
Anwitaman Datta,Smitha K G,0.16666666666666663
Anwitaman Datta,Sourav Saha Bhowmick,0.16666666666666663
Anwitaman Datta,Sun Aixin,0.0
Anwitaman Datta,Tan Rui,0.16666666666666663
Anwitaman Datta,Vidya Sudarshan,0.0
Anwitaman Datta,Wai Kin Adams Kong,0.33333333333333337
Anwitaman Datta,Wang Wenya,0.0
Anwitaman Datta,Wee Keong NG,0.1428571428571429
Anwitaman Datta,Wei Yang Bryan Lim,0.19999999999999996
Anwitaman Datta,Wei Ying,0.0
Anwitaman Datta,Wen Yonggang,0.25
Anwitaman Datta,Wentong Cai,1.0
Anwitaman Datta,Yeo Chai Kiat,0.1428571428571429
Anwitaman Datta,Yu Han,0.16666666666666663
Anwitaman Datta,Zhang Hanwang,0.16666666666666663
Anwitaman Datta,Zhang Jie,0.0
Anwitaman Datta,Zhang Tianwei,0.5
Anwitaman Datta,Zheng Jianmin,0.1428571428571429
Arvind Easwaran,A S Madhukumar,0.1428571428571429
Arvind Easwaran,Alexei Sourin,0.19999999999999996
Arvind Easwaran,Anupam Chattopadhyay,0.2857142857142857
Arvind Easwaran,Anwitaman Datta,0.33333333333333337
Arvind Easwaran,Bo An,0.0
Arvind Easwaran,Cham Tat Jen,0.25
Arvind Easwaran,Chee Wei Tan,0.0
Arvind Easwaran,Chen Change Loy,0.5
Arvind Easwaran,Chia Liang Tien,0.19999999999999996
Arvind Easwaran,Chng Eng Siong,0.0
Arvind Easwaran,Cong Gao,0.19999999999999996
Arvind Easwaran,Deepu Rajan,0.19999999999999996
Arvind Easwaran,Dmitrii Ustiugov,0.33333333333333337
Arvind Easwaran,Douglas Leslie Maskell,0.4
Arvind Easwaran,Dusit Niyato,0.25
Arvind Easwaran,Erik Cambria,0.16666666666666663
Arvind Easwaran,Goh Wooi Boon,0.19999999999999996
Arvind Easwaran,Guan Cuntai,0.0
Arvind Easwaran,He Ying,0.5
Arvind Easwaran,Huang Shell Ying,0.16666666666666663
Arvind Easwaran,Hui Siu Cheung,0.16666666666666663
Arvind Easwaran,Jagath Chandana Rajapakse,0.0
Arvind Easwaran,Kwoh Chee Keong,0.16666666666666663
Arvind Easwaran,Lam Kwok Yan,0.16666666666666663
Arvind Easwaran,Lam Siew Kei,0.5
Arvind Easwaran,Lee Bu Sung,0.16666666666666663
Arvind Easwaran,Li Boyang,0.5
Arvind Easwaran,Li Mo,0.19999999999999996
Arvind Easwaran,Li Yi,0.5
Arvind Easwaran,Lin Guosheng,0.5
Arvind Easwaran,Lin Shang-Wei,0.33333333333333337
Arvind Easwaran,Liu Weichen,0.6666666666666667
Arvind Easwaran,Liu Yang,0.33333333333333337
Arvind Easwaran,Liu Ziwei,0.5
Arvind Easwaran,Loke Yuan Ren,0.1428571428571429
Arvind Easwaran,Long Cheng,0.0
Arvind Easwaran,Lu Shijian,0.0
Arvind Easwaran,Luo Jun,0.0
Arvind Easwaran,Luo Siqiang,0.5
Arvind Easwaran,Luu Anh Tuan,0.5
Arvind Easwaran,Miao Chun Yan,0.16666666666666663
Arvind Easwaran,Mohamed M. Sabry,0.2857142857142857
